experiment_group,workflow_version,priority,rule_name,image_name,user_role,company_size,industry,cloud_provider,plan_type,total_alert_views,total_investigations,total_remediations,investigation_rate,remediation_rate,avg_time_to_investigate_minutes
control,old_page,ERROR,Write below monitored dir,falcosecurity/event-generator,platform_engineer,enterprise,ecommerce,aws,free,1,1,1,1,1,94
control,old_page,CRITICAL,Detect crypto miners using the Stratum protocol,busybox:latest,platform_engineer,enterprise,ecommerce,aws,free,1,1,1,1,1,28
control,old_page,WARNING,Outbound Connection to C2 Servers,busybox:latest,platform_engineer,enterprise,ecommerce,aws,free,1,0,0,0,0,
control,old_page,WARNING,Delete Bash History,busybox:latest,devops_engineer,enterprise,saas,gcp,pro,2,1,1,0.5,0.5,10
control,old_page,WARNING,The docker client is executed in a container,busybox:latest,devops_engineer,enterprise,saas,gcp,pro,1,1,1,1,1,27
control,old_page,ERROR,Container Drift Detected (open+create),falcosecurity/event-generator,devops_engineer,enterprise,saas,gcp,pro,1,0,0,0,0,
control,old_page,WARNING,Launch Disallowed Container,busybox:latest,devops_engineer,enterprise,saas,gcp,pro,1,1,0,1,0,21
control,old_page,ERROR,Modify binary dirs,falcosecurity/event-generator,devops_engineer,enterprise,saas,gcp,pro,1,1,1,1,1,13
control,old_page,WARNING,Mount Launched in Privileged Container,busybox:latest,devops_engineer,enterprise,saas,gcp,pro,1,0,0,0,0,
control,old_page,ERROR,Write below monitored dir,busybox:latest,devops_engineer,enterprise,saas,gcp,pro,2,0,0,0,0,
control,old_page,CRITICAL,Unprivileged Delegation of Page Faults Handling to a Userspace Process,busybox:latest,devops_engineer,enterprise,saas,gcp,pro,2,0,0,0,0,
control,old_page,WARNING,Read sensitive file untrusted,falcosecurity/event-generator,security_engineer,enterprise,saas,gcp,pro,1,1,0,1,0,92
control,old_page,CRITICAL,Unprivileged Delegation of Page Faults Handling to a Userspace Process,falcosecurity/event-generator,security_engineer,enterprise,saas,gcp,pro,1,1,0,1,0,78
control,old_page,WARNING,Delete Bash History,falcosecurity/event-generator,security_engineer,enterprise,saas,gcp,pro,1,1,0,1,0,24
control,old_page,WARNING,Read Shell Configuration File,busybox:latest,security_engineer,enterprise,saas,gcp,pro,1,1,0,1,0,58
control,old_page,CRITICAL,Detect crypto miners using the Stratum protocol,busybox:latest,security_engineer,enterprise,saas,gcp,pro,1,1,1,1,1,5
control,old_page,ERROR,Write below etc,busybox:latest,security_engineer,enterprise,saas,gcp,pro,1,1,0,1,0,116
control,old_page,WARNING,Delete Bash History,busybox:latest,security_engineer,enterprise,saas,gcp,pro,1,0,0,0,0,
control,old_page,ERROR,Create files below dev,busybox:latest,security_engineer,enterprise,saas,gcp,pro,1,1,0,1,0,111
control,old_page,WARNING,Launch Disallowed Container,busybox:latest,platform_engineer,enterprise,saas,gcp,pro,1,1,0,1,0,96
control,old_page,ERROR,Container Drift Detected (chmod),busybox:latest,platform_engineer,enterprise,saas,gcp,pro,1,0,0,0,0,
control,old_page,ERROR,Create files below dev,busybox:latest,platform_engineer,enterprise,saas,gcp,pro,1,1,0,1,0,80
control,old_page,WARNING,Outbound Connection to C2 Servers,busybox:latest,platform_engineer,enterprise,saas,gcp,pro,1,0,0,0,0,
control,old_page,WARNING,Outbound or Inbound Traffic not to Authorized Server Process and Port,busybox:latest,platform_engineer,enterprise,saas,gcp,pro,1,0,0,0,0,
control,old_page,ERROR,Read ssh information,busybox:latest,devops_engineer,enterprise,saas,gcp,pro,1,1,1,1,1,93
control,old_page,WARNING,Delete or rename shell history,busybox:latest,devops_engineer,enterprise,saas,gcp,pro,1,1,1,1,1,84
control,old_page,WARNING,Debugfs Launched in Privileged Container,falcosecurity/event-generator,devops_engineer,enterprise,saas,gcp,pro,1,0,0,0,0,
control,old_page,ERROR,Write below root,busybox:latest,devops_engineer,enterprise,saas,gcp,pro,1,0,0,0,0,
control,old_page,ERROR,Write below etc,busybox:latest,devops_engineer,enterprise,saas,gcp,pro,1,0,0,0,0,
control,old_page,WARNING,Remove Bulk Data from Disk,busybox:latest,devops_engineer,enterprise,saas,gcp,pro,1,0,0,0,0,
control,old_page,CRITICAL,Detect outbound connections to common miner pool ports,busybox:latest,devops_engineer,enterprise,saas,gcp,pro,1,1,0,1,0,85
control,old_page,WARNING,Read sensitive file untrusted,busybox:latest,devops_engineer,enterprise,saas,gcp,pro,1,1,1,1,1,72
control,old_page,WARNING,Outbound or Inbound Traffic not to Authorized Server Process and Port,busybox:latest,devops_engineer,enterprise,saas,gcp,pro,1,0,0,0,0,
control,old_page,CRITICAL,Sudo Potential Privilege Escalation,busybox:latest,security_engineer,small,health,gcp,free,4,1,1,0.25,0.25,78
control,old_page,ERROR,Create files below dev,busybox:latest,security_engineer,small,health,gcp,free,2,2,0,1,0,7
control,old_page,ERROR,Write below rpm database,busybox:latest,security_engineer,small,health,gcp,free,3,2,1,0.66666666666666663,0.33333333333333331,25
control,old_page,WARNING,Mount Launched in Privileged Container,falcosecurity/event-generator,security_engineer,small,health,gcp,free,1,0,0,0,0,
control,old_page,WARNING,Linux Kernel Module Injection Detected,busybox:latest,security_engineer,small,health,gcp,free,3,1,0,0.33333333333333331,0,15
control,old_page,ERROR,Launch Package Management Process in Container,busybox:latest,security_engineer,small,health,gcp,free,1,0,0,0,0,
control,old_page,WARNING,Linux Kernel Module Injection Detected,falcosecurity/event-generator,security_engineer,small,health,gcp,free,2,1,1,0.5,0.5,108
control,old_page,ERROR,Container Drift Detected (chmod),busybox:latest,security_engineer,small,health,gcp,free,2,2,0,1,0,40
control,old_page,WARNING,Redirect STDOUT/STDIN to Network Connection in Container,busybox:latest,security_engineer,small,health,gcp,free,2,2,1,1,0.5,38.5
control,old_page,WARNING,Read sensitive file untrusted,falcosecurity/event-generator,security_engineer,small,health,gcp,free,1,1,0,1,0,41
control,old_page,WARNING,Read Shell Configuration File,busybox:latest,security_engineer,small,health,gcp,free,1,0,0,0,0,
control,old_page,WARNING,Outbound or Inbound Traffic not to Authorized Server Process and Port,busybox:latest,security_engineer,small,health,gcp,free,1,1,1,1,1,115
control,old_page,WARNING,Remove Bulk Data from Disk,busybox:latest,security_engineer,small,health,gcp,free,2,1,0,0.5,0,49
control,old_page,ERROR,Write below root,busybox:latest,security_engineer,small,health,gcp,free,2,1,1,0.5,0.5,108
control,old_page,ERROR,Write below etc,busybox:latest,security_engineer,small,health,gcp,free,1,0,0,0,0,
control,old_page,WARNING,Mount Launched in Privileged Container,busybox:latest,security_engineer,small,health,gcp,free,1,0,0,0,0,
control,old_page,WARNING,Search Private Keys or Passwords,busybox:latest,security_engineer,small,health,gcp,free,1,0,0,0,0,
control,old_page,WARNING,Outbound Connection to C2 Servers,falcosecurity/event-generator,security_engineer,small,health,gcp,free,1,1,1,1,1,56
control,old_page,WARNING,Launch Disallowed Container,busybox:latest,security_engineer,small,health,gcp,free,2,0,0,0,0,
control,old_page,WARNING,Network Connection outside Local Subnet,falcosecurity/event-generator,security_engineer,small,health,gcp,free,1,1,0,1,0,97
control,old_page,CRITICAL,Detect outbound connections to common miner pool ports,busybox:latest,security_engineer,small,health,gcp,free,3,2,2,0.66666666666666663,0.66666666666666663,30
control,old_page,WARNING,Debugfs Launched in Privileged Container,busybox:latest,security_engineer,small,health,gcp,free,2,2,1,1,0.5,54.5
control,old_page,WARNING,Clear Log Activities,falcosecurity/event-generator,security_engineer,small,health,gcp,free,1,0,0,0,0,
control,old_page,ERROR,Container Drift Detected (open+create),busybox:latest,security_engineer,small,health,gcp,free,2,2,2,1,1,50.5
control,old_page,ERROR,Write below binary dir,falcosecurity/event-generator,security_engineer,small,health,gcp,free,2,2,1,1,0.5,50
control,old_page,WARNING,Delete or rename shell history,busybox:latest,security_engineer,small,health,gcp,free,2,0,0,0,0,
control,old_page,CRITICAL,Unprivileged Delegation of Page Faults Handling to a Userspace Process,busybox:latest,security_engineer,small,health,gcp,free,1,0,0,0,0,
control,old_page,WARNING,The docker client is executed in a container,busybox:latest,security_engineer,small,health,gcp,free,1,0,0,0,0,
control,old_page,CRITICAL,Sudo Potential Privilege Escalation,busybox:latest,platform_engineer,small,saas,aws,pro,1,1,0,1,0,95
control,old_page,WARNING,Remove Bulk Data from Disk,busybox:latest,platform_engineer,small,saas,aws,pro,1,0,0,0,0,
control,old_page,ERROR,Create files below dev,busybox:latest,platform_engineer,small,saas,aws,pro,2,0,0,0,0,
control,old_page,ERROR,Write below binary dir,busybox:latest,platform_engineer,small,saas,aws,pro,2,2,1,1,0.5,109.5
control,old_page,WARNING,Read sensitive file untrusted,busybox:latest,platform_engineer,small,saas,aws,pro,1,1,1,1,1,46
control,old_page,WARNING,Outbound Connection to C2 Servers,falcosecurity/event-generator,platform_engineer,small,saas,aws,pro,1,1,1,1,1,15
control,old_page,ERROR,Container Drift Detected (open+create),busybox:latest,platform_engineer,small,saas,aws,pro,2,1,1,0.5,0.5,113
control,old_page,ERROR,Write below monitored dir,busybox:latest,platform_engineer,small,saas,aws,pro,2,2,1,1,0.5,64.5
control,old_page,ERROR,Create files below dev,busybox:latest,security_engineer,small,saas,aws,pro,1,1,1,1,1,101
control,old_page,CRITICAL,Detect crypto miners using the Stratum protocol,busybox:latest,security_engineer,small,saas,aws,pro,1,1,1,1,1,74
control,old_page,WARNING,Delete or rename shell history,busybox:latest,security_engineer,small,saas,aws,pro,1,0,0,0,0,
control,old_page,WARNING,Netcat Remote Code Execution in Container,falcosecurity/event-generator,security_engineer,small,saas,aws,pro,1,1,1,1,1,47
control,old_page,ERROR,Launch Package Management Process in Container,busybox:latest,security_engineer,small,saas,aws,pro,1,1,1,1,1,119
control,old_page,WARNING,Delete Bash History,busybox:latest,security_engineer,small,saas,aws,pro,1,1,1,1,1,80
control,old_page,WARNING,Mount Launched in Privileged Container,busybox:latest,security_engineer,small,saas,aws,pro,2,2,2,1,1,64.5
control,old_page,WARNING,Read sensitive file untrusted,busybox:latest,security_engineer,small,saas,aws,pro,1,1,0,1,0,24
control,old_page,WARNING,The docker client is executed in a container,busybox:latest,security_engineer,small,saas,aws,pro,1,0,0,0,0,
control,old_page,WARNING,Mount Launched in Privileged Container,busybox:latest,platform_engineer,small,saas,aws,pro,1,1,1,1,1,87
control,old_page,WARNING,Launch Disallowed Container,falcosecurity/event-generator,platform_engineer,small,saas,aws,pro,1,1,0,1,0,38
control,old_page,WARNING,Network Connection outside Local Subnet,busybox:latest,platform_engineer,small,saas,aws,pro,1,0,0,0,0,
control,old_page,WARNING,Redirect STDOUT/STDIN to Network Connection in Container,falcosecurity/event-generator,platform_engineer,small,saas,aws,pro,1,1,1,1,1,81
control,old_page,WARNING,Debugfs Launched in Privileged Container,busybox:latest,platform_engineer,small,saas,aws,pro,1,1,1,1,1,94
control,old_page,WARNING,The docker client is executed in a container,busybox:latest,platform_engineer,small,saas,aws,pro,1,0,0,0,0,
control,old_page,CRITICAL,Detect outbound connections to common miner pool ports,busybox:latest,platform_engineer,small,saas,aws,pro,1,1,1,1,1,11
control,old_page,ERROR,Write below etc,falcosecurity/falco,platform_engineer,small,saas,aws,pro,1,1,0,1,0,67
control,old_page,WARNING,Clear Log Activities,busybox:latest,platform_engineer,small,saas,aws,pro,1,0,0,0,0,
control,old_page,WARNING,Search Private Keys or Passwords,falcosecurity/event-generator,platform_engineer,small,saas,aws,pro,1,1,1,1,1,43
control,old_page,ERROR,Modify binary dirs,falcosecurity/event-generator,platform_engineer,small,saas,aws,pro,1,1,1,1,1,78
control,old_page,WARNING,Remove Bulk Data from Disk,busybox:latest,platform_engineer,medium,ecommerce,aws,enterprise,1,0,0,0,0,
control,old_page,WARNING,Read sensitive file untrusted,busybox:latest,platform_engineer,medium,ecommerce,aws,enterprise,1,1,0,1,0,118
control,old_page,WARNING,Redirect STDOUT/STDIN to Network Connection in Container,busybox:latest,platform_engineer,medium,ecommerce,aws,enterprise,1,0,0,0,0,
control,old_page,ERROR,Write below root,busybox:latest,platform_engineer,medium,ecommerce,aws,enterprise,1,1,0,1,0,4
control,old_page,WARNING,Search Private Keys or Passwords,busybox:latest,platform_engineer,medium,ecommerce,aws,enterprise,1,1,1,1,1,59
control,old_page,WARNING,The docker client is executed in a container,busybox:latest,platform_engineer,medium,ecommerce,aws,enterprise,1,1,1,1,1,61
control,old_page,WARNING,Remove Bulk Data from Disk,busybox:latest,security_engineer,medium,ecommerce,aws,enterprise,1,0,0,0,0,
control,old_page,ERROR,Write below etc,busybox:latest,security_engineer,medium,ecommerce,aws,enterprise,1,0,0,0,0,
control,old_page,ERROR,Container Drift Detected (chmod),busybox:latest,security_engineer,medium,ecommerce,aws,enterprise,1,0,0,0,0,
control,old_page,ERROR,Mkdir binary dirs,busybox:latest,security_engineer,medium,ecommerce,aws,enterprise,1,0,0,0,0,
control,old_page,WARNING,Linux Kernel Module Injection Detected,busybox:latest,security_engineer,medium,ecommerce,aws,enterprise,1,1,0,1,0,18
control,old_page,WARNING,Search Private Keys or Passwords,busybox:latest,devops_engineer,medium,ecommerce,aws,enterprise,1,0,0,0,0,
control,old_page,ERROR,Write below etc,busybox:latest,devops_engineer,medium,ecommerce,aws,enterprise,2,1,1,0.5,0.5,6
control,old_page,CRITICAL,Sudo Potential Privilege Escalation,falcosecurity/event-generator,devops_engineer,medium,ecommerce,aws,enterprise,1,0,0,0,0,
control,old_page,WARNING,Redirect STDOUT/STDIN to Network Connection in Container,busybox:latest,devops_engineer,medium,ecommerce,aws,enterprise,2,1,1,0.5,0.5,73
control,old_page,ERROR,Launch Package Management Process in Container,busybox:latest,devops_engineer,medium,ecommerce,aws,enterprise,1,0,0,0,0,
control,old_page,ERROR,Modify binary dirs,busybox:latest,devops_engineer,medium,ecommerce,aws,enterprise,1,0,0,0,0,
control,old_page,CRITICAL,Detect outbound connections to common miner pool ports,falcosecurity/event-generator,platform_engineer,medium,ecommerce,aws,enterprise,1,0,0,0,0,
control,old_page,ERROR,Read ssh information,busybox:latest,platform_engineer,medium,ecommerce,aws,enterprise,1,1,1,1,1,49
control,old_page,CRITICAL,Sudo Potential Privilege Escalation,busybox:latest,platform_engineer,medium,ecommerce,aws,enterprise,1,1,0,1,0,52
control,old_page,WARNING,Linux Kernel Module Injection Detected,busybox:latest,platform_engineer,medium,fintech,gcp,free,2,2,1,1,0.5,86.5
control,old_page,WARNING,Clear Log Activities,busybox:latest,platform_engineer,medium,fintech,gcp,free,2,1,1,0.5,0.5,75
control,old_page,ERROR,Write below etc,falcosecurity/event-generator,platform_engineer,medium,fintech,gcp,free,1,1,1,1,1,17
control,old_page,ERROR,Write below root,busybox:latest,platform_engineer,medium,fintech,gcp,free,1,0,0,0,0,
control,old_page,WARNING,Read sensitive file untrusted,busybox:latest,platform_engineer,medium,fintech,gcp,free,1,1,0,1,0,100
control,old_page,WARNING,Network Connection outside Local Subnet,falcosecurity/event-generator,platform_engineer,medium,fintech,gcp,free,1,1,0,1,0,109
control,old_page,ERROR,Write below etc,busybox:latest,platform_engineer,medium,fintech,gcp,free,1,0,0,0,0,
control,old_page,ERROR,Write below root,busybox:latest,devops_engineer,medium,fintech,gcp,free,2,2,1,1,0.5,53.5
control,old_page,ERROR,Create files below dev,busybox:latest,devops_engineer,medium,fintech,gcp,free,1,1,0,1,0,120
control,old_page,WARNING,Netcat Remote Code Execution in Container,falcosecurity/event-generator,devops_engineer,medium,fintech,gcp,free,1,0,0,0,0,
control,old_page,WARNING,Redirect STDOUT/STDIN to Network Connection in Container,busybox:latest,devops_engineer,medium,fintech,gcp,free,1,0,0,0,0,
control,old_page,WARNING,Debugfs Launched in Privileged Container,busybox:latest,devops_engineer,medium,fintech,gcp,free,1,1,1,1,1,32
control,old_page,WARNING,Launch Disallowed Container,busybox:latest,devops_engineer,medium,fintech,gcp,free,2,0,0,0,0,
control,old_page,ERROR,Container Drift Detected (chmod),falcosecurity/event-generator,devops_engineer,medium,fintech,gcp,free,1,1,0,1,0,105
control,old_page,ERROR,Modify binary dirs,falcosecurity/event-generator,devops_engineer,medium,fintech,gcp,free,1,0,0,0,0,
control,old_page,WARNING,Launch Disallowed Container,busybox:latest,platform_engineer,medium,fintech,gcp,free,1,0,0,0,0,
control,old_page,ERROR,Write below rpm database,busybox:latest,platform_engineer,medium,fintech,gcp,free,1,0,0,0,0,
control,old_page,ERROR,Write below monitored dir,falcosecurity/event-generator,platform_engineer,medium,fintech,gcp,free,1,1,0,1,0,75
control,old_page,WARNING,Outbound Connection to C2 Servers,busybox:latest,platform_engineer,medium,fintech,gcp,free,1,1,1,1,1,64
control,old_page,WARNING,Outbound Connection to C2 Servers,falcosecurity/event-generator,platform_engineer,medium,fintech,gcp,free,1,0,0,0,0,
control,old_page,WARNING,Network Connection outside Local Subnet,busybox:latest,platform_engineer,medium,fintech,gcp,free,1,1,0,1,0,33
control,old_page,ERROR,Create files below dev,busybox:latest,platform_engineer,medium,fintech,gcp,free,1,1,0,1,0,58
control,old_page,WARNING,Outbound or Inbound Traffic not to Authorized Server Process and Port,falcosecurity/event-generator,platform_engineer,medium,fintech,gcp,free,1,0,0,0,0,
control,old_page,WARNING,Read sensitive file trusted after startup,falcosecurity/event-generator,platform_engineer,medium,fintech,gcp,free,1,0,0,0,0,
control,old_page,WARNING,Redirect STDOUT/STDIN to Network Connection in Container,busybox:latest,platform_engineer,medium,fintech,gcp,free,1,0,0,0,0,
control,old_page,WARNING,The docker client is executed in a container,busybox:latest,security_engineer,medium,fintech,gcp,free,1,1,0,1,0,5
control,old_page,ERROR,Container Drift Detected (chmod),busybox:latest,security_engineer,medium,fintech,gcp,free,1,1,1,1,1,57
control,old_page,WARNING,Launch Disallowed Container,busybox:latest,security_engineer,medium,fintech,gcp,free,1,1,1,1,1,38
control,old_page,WARNING,Delete or rename shell history,busybox:latest,security_engineer,medium,fintech,gcp,free,1,1,0,1,0,56
control,old_page,WARNING,Redirect STDOUT/STDIN to Network Connection in Container,busybox:latest,security_engineer,medium,fintech,gcp,free,1,1,1,1,1,105
control,old_page,ERROR,Write below root,busybox:latest,security_engineer,medium,fintech,gcp,free,1,1,1,1,1,25
control,old_page,ERROR,Write below etc,busybox:latest,security_engineer,medium,fintech,gcp,free,1,1,0,1,0,66
control,old_page,ERROR,Container Drift Detected (chmod),busybox:latest,platform_engineer,medium,fintech,gcp,free,1,1,0,1,0,77
control,old_page,ERROR,Container Drift Detected (open+create),busybox:latest,platform_engineer,medium,fintech,gcp,free,1,1,0,1,0,67
control,old_page,ERROR,Container Drift Detected (open+create),falcosecurity/event-generator,platform_engineer,medium,fintech,gcp,free,1,1,0,1,0,120
control,old_page,WARNING,Debugfs Launched in Privileged Container,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,2,1,1,0.5,0.5,54
control,old_page,ERROR,Create files below dev,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,1,1,1,63
control,old_page,ERROR,Container Drift Detected (open+create),falcosecurity/event-generator,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,1,1,1,42
control,old_page,WARNING,Search Private Keys or Passwords,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,1,0,0,0,0,
control,old_page,ERROR,Modify binary dirs,falcosecurity/event-generator,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,1,1,1,12
control,old_page,WARNING,Launch Disallowed Container,falcosecurity/event-generator,platform_engineer,enterprise,ecommerce,azure,enterprise,2,1,1,0.5,0.5,82
control,old_page,WARNING,The docker client is executed in a container,falcosecurity/event-generator,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,1,1,1,120
control,old_page,WARNING,Outbound or Inbound Traffic not to Authorized Server Process and Port,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,2,1,1,0.5,0.5,116
control,old_page,WARNING,Delete or rename shell history,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,1,1,1,40
control,old_page,ERROR,Write below etc,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,1,1,1,98
control,old_page,ERROR,Write below rpm database,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,0,1,0,4
control,old_page,ERROR,Write below root,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,3,1,1,0.33333333333333331,0.33333333333333331,43
control,old_page,ERROR,Read ssh information,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,0,1,0,29
control,old_page,WARNING,Network Connection outside Local Subnet,falcosecurity/event-generator,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,1,1,1,17
control,old_page,WARNING,Read sensitive file untrusted,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,1,1,1,42
control,old_page,WARNING,Launch Disallowed Container,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,2,2,2,1,1,61.5
control,old_page,ERROR,Container Drift Detected (open+create),busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,1,1,1,55
control,old_page,WARNING,Network Connection outside Local Subnet,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,0,1,0,18
control,old_page,WARNING,Delete Bash History,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,2,1,0,0.5,0,60
control,old_page,CRITICAL,Unprivileged Delegation of Page Faults Handling to a Userspace Process,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,2,2,2,1,1,51.5
control,old_page,WARNING,Linux Kernel Module Injection Detected,falcosecurity/event-generator,platform_engineer,enterprise,ecommerce,azure,enterprise,1,0,0,0,0,
control,old_page,ERROR,Mkdir binary dirs,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,2,1,1,0.5,0.5,62
control,old_page,WARNING,Outbound or Inbound Traffic not to Authorized Server Process and Port,falcosecurity/event-generator,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,0,1,0,39
control,old_page,ERROR,Write below monitored dir,falcosecurity/event-generator,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,1,1,1,108
control,old_page,WARNING,Read sensitive file trusted after startup,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,1,0,0,0,0,
control,old_page,ERROR,Container Drift Detected (chmod),busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,0,1,0,97
control,old_page,WARNING,Netcat Remote Code Execution in Container,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,1,0,0,0,0,
control,old_page,CRITICAL,Detect crypto miners using the Stratum protocol,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,1,1,1,9
control,old_page,WARNING,Remove Bulk Data from Disk,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,1,0,0,0,0,
control,old_page,WARNING,Outbound Connection to C2 Servers,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,1,1,1,15
control,old_page,ERROR,Write below monitored dir,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,1,0,0,0,0,
control,old_page,ERROR,Launch Package Management Process in Container,busybox:latest,platform_engineer,enterprise,ecommerce,azure,enterprise,1,1,1,1,1,9
control,old_page,WARNING,Mount Launched in Privileged Container,busybox:latest,platform_engineer,medium,health,azure,free,1,1,1,1,1,19
control,old_page,ERROR,Create files below dev,busybox:latest,platform_engineer,medium,health,azure,free,1,1,0,1,0,48
control,old_page,WARNING,Clear Log Activities,busybox:latest,platform_engineer,medium,health,azure,free,1,0,0,0,0,
control,old_page,ERROR,Launch Package Management Process in Container,busybox:latest,platform_engineer,medium,health,azure,free,1,0,0,0,0,
control,old_page,ERROR,Read ssh information,busybox:latest,devops_engineer,medium,health,azure,free,2,2,1,1,0.5,69
control,old_page,ERROR,Container Drift Detected (open+create),falcosecurity/event-generator,devops_engineer,medium,health,azure,free,1,1,0,1,0,104
control,old_page,ERROR,Write below rpm database,busybox:latest,devops_engineer,medium,health,azure,free,2,1,0,0.5,0,103
control,old_page,ERROR,Create files below dev,busybox:latest,devops_engineer,medium,health,azure,free,1,1,0,1,0,101
control,old_page,ERROR,Write below root,busybox:latest,devops_engineer,medium,health,azure,free,1,1,1,1,1,95
control,old_page,WARNING,Debugfs Launched in Privileged Container,busybox:latest,devops_engineer,medium,health,azure,free,1,1,1,1,1,114
control,old_page,ERROR,Write below monitored dir,falcosecurity/event-generator,devops_engineer,medium,health,azure,free,1,1,1,1,1,11
control,old_page,ERROR,Create files below dev,busybox:latest,security_engineer,medium,health,azure,free,1,0,0,0,0,
control,old_page,WARNING,Launch Disallowed Container,busybox:latest,security_engineer,medium,health,azure,free,1,1,0,1,0,74
control,old_page,ERROR,Write below rpm database,falcosecurity/event-generator,security_engineer,medium,health,azure,free,1,1,1,1,1,6
control,old_page,WARNING,Search Private Keys or Passwords,busybox:latest,security_engineer,medium,health,azure,free,1,1,1,1,1,7
control,old_page,WARNING,Read sensitive file trusted after startup,falcosecurity/event-generator,security_engineer,medium,health,azure,free,1,1,1,1,1,11
control,old_page,ERROR,Launch Package Management Process in Container,falcosecurity/event-generator,devops_engineer,medium,health,azure,free,1,0,0,0,0,
control,old_page,WARNING,Delete Bash History,busybox:latest,devops_engineer,medium,health,azure,free,1,1,1,1,1,71
control,old_page,WARNING,Outbound Connection to C2 Servers,busybox:latest,devops_engineer,medium,health,azure,free,1,1,0,1,0,115
control,old_page,ERROR,Mkdir binary dirs,busybox:latest,devops_engineer,medium,health,azure,free,1,1,0,1,0,85
control,old_page,ERROR,Write below etc,falcosecurity/event-generator,devops_engineer,medium,health,azure,free,1,0,0,0,0,
control,old_page,ERROR,Write below binary dir,busybox:latest,devops_engineer,medium,health,azure,free,2,0,0,0,0,
control,old_page,WARNING,Read sensitive file untrusted,busybox:latest,security_engineer,small,health,gcp,free,1,1,1,1,1,104
control,old_page,WARNING,Network Connection outside Local Subnet,busybox:latest,security_engineer,small,health,gcp,free,1,1,1,1,1,13
control,old_page,ERROR,Modify binary dirs,busybox:latest,security_engineer,small,health,gcp,free,1,1,1,1,1,72
control,old_page,ERROR,Write below binary dir,busybox:latest,security_engineer,small,health,gcp,free,1,1,0,1,0,96
control,old_page,WARNING,Read sensitive file untrusted,falcosecurity/event-generator,devops_engineer,small,health,gcp,free,1,1,0,1,0,72
control,old_page,ERROR,Write below etc,busybox:latest,devops_engineer,small,health,gcp,free,1,1,1,1,1,38
control,old_page,WARNING,Clear Log Activities,falcosecurity/event-generator,devops_engineer,small,health,gcp,free,1,0,0,0,0,
control,old_page,CRITICAL,Detect outbound connections to common miner pool ports,falcosecurity/event-generator,devops_engineer,small,health,gcp,free,1,1,0,1,0,91
control,old_page,WARNING,Launch Disallowed Container,busybox:latest,devops_engineer,small,health,gcp,free,2,2,1,1,0.5,73
control,old_page,ERROR,Write below binary dir,busybox:latest,devops_engineer,small,health,gcp,free,1,1,1,1,1,82
control,old_page,WARNING,Launch Disallowed Container,falcosecurity/event-generator,devops_engineer,small,health,gcp,free,1,0,0,0,0,
control,old_page,WARNING,Clear Log Activities,busybox:latest,devops_engineer,small,health,gcp,free,1,1,1,1,1,55
control,old_page,CRITICAL,Unprivileged Delegation of Page Faults Handling to a Userspace Process,falcosecurity/event-generator,security_engineer,small,health,gcp,free,1,1,0,1,0,53
control,old_page,CRITICAL,Detect crypto miners using the Stratum protocol,busybox:latest,security_engineer,small,health,gcp,free,1,1,1,1,1,117
control,old_page,ERROR,Write below monitored dir,busybox:latest,security_engineer,small,health,gcp,free,1,0,0,0,0,
control,old_page,CRITICAL,Detect outbound connections to common miner pool ports,busybox:latest,platform_engineer,small,health,gcp,free,1,0,0,0,0,
control,old_page,ERROR,Read ssh information,busybox:latest,platform_engineer,small,health,gcp,free,1,1,1,1,1,29
control,old_page,WARNING,Linux Kernel Module Injection Detected,<NA>,platform_engineer,small,health,gcp,free,1,1,1,1,1,71
